小狗,狗狗,汪汪,狗,小狗很可爱，喜欢蹦蹦跳跳，喜欢吃骨头，是一种特别忠诚的家中宠物。
小猫,小猫咪,猫咪,猫,小猫咪天性懒散，喜欢晒太阳，会捉老鼠，是最适合当宠物的动物之一。
鸡,小鸡,,,鸡是很常见的动物，嘴巴尖尖的，母鸡会下蛋，公鸡会打鸣。
鸭,鸭子,,,鸭子的嘴扁扁的，喜欢在水面上游泳。
绵羊,咩咩,羊,,绵羊的毛白白的，软软的，喜欢吃青草，头上有角，很温顺。
羚羊,,,,羚羊体型比绵羊小，羚羊跑的很快，一般在草原生活。
兔子,白兔,小白兔,,兔子很可爱，白白的，眼睛是红色的，有两个大大的耳朵，喜欢吃胡萝卜。
乌龟,王八,,,乌龟动作很慢，它可以活很久，身上的壳硬硬的。
天鹅,,,,天鹅有白天鹅黑天鹅，长长的脖子，它会游泳还会飞，喜欢吃水里的小鱼小虾。
熊猫,大熊猫,,,熊猫是我国的国宝，喜欢吃竹子，胖胖的，眼睛黑黑的，身体有黑白两种颜色，黑色为主。
狗熊,,,,狗熊一般生活在森林深处，身体颜色一般是黑色或棕色的，冬天会冬眠，喜欢吃植物的叶子，很爱吃蜂蜜，会游泳，会爬树。
狼,,,,狼是一种不常见的动物，喜欢吃肉，体型中等，跑的很快，一般生活在人少的地方。
老鼠,,,,老鼠体型很小，害怕猫，喜欢香的食物，有长长的尾巴，因为体型小所以跑的很快。
老虎,,,,老虎居住在森林和山上，体型很大，有锋利的牙齿和爪子，喜欢吃肉。
狮子,,,,狮子身上的毛很多，居住在森林深处，体型大，肉食动物。
大象,,,,大象体型很大，长长的鼻子很软，耳朵都和扇子差不多大，喜欢吃嫩叶，野果野菜。
蛇,,,,蛇身体很软，爬着走路，吃肉，一般生活在阴暗潮湿的地方，冬天也会冬眠。
长颈鹿,,,,长颈鹿的脖子和名字一样，很长，喜欢吃树叶，野果，性格温顺，生活在大草原。
骆驼,,,,骆驼是沙漠中的动物，身上有两个高高的驼峰，喜欢吃树叶，野草，提醒很大。
鸵鸟,,,,鸵鸟是世界上最大的一种鸟类，跑的很快，但是不会飞行，生活在沙漠草地和草原地带，吃树叶，果实，昆虫
猴子,,,,猴子喜欢吃水果，比一般的动物聪明，有灵活的手指脚趾，一般是一群一群的出现。
猪,,,,猪是一种很常见的动物，性格懒惰，体重很重，胖胖的，很可爱。
奶牛,,,,奶牛会产奶，体型较大，身体以白色为主，性格温顺，吃杂草，树叶等。
孔雀,,,,孔雀生活在森林的开阔地带，什么都吃，孔雀很漂亮，身后羽毛很长，在展开时会有很漂亮的尾屏。
斑马,,,,斑马身体颜色有黑道白道，生活在草原，喜欢吃草，树叶等杂食。
马,,,,马有四个蹄子，长长的尾巴，跑得很快，一般生活在草原，吃树叶，杂草。
龙,,,,龙是一种神话动物，象征着福瑞吉祥，头上长有犄角，会飞。
蝙蝠,,,,蝙蝠会飞，一般遍布于全世界，大部分蝙蝠是白天休息，夜间找吃的，有些蝙蝠吃昆虫，有的也吃果实，花蜜。
蝴蝶,,,,蝴蝶是一种会飞的动物，翅膀上有鳞片，很漂亮，一般春天的时候会看到很多蝴蝶。
青蛙,,,,青蛙是一种益虫，身上一身绿，吃蚊子等害虫，是人类的好朋友。
蜻蜓,,,,蜻蜓一般在夏天热的时候大量出现，是一种飞行昆虫。
猩猩,,,,猩猩外貌以黑色为主，体型较大，生活于森林深处的山洞中，喜欢吃果子。
蚂蚁,,,,蚂蚁是一种很小的昆虫，黑黑的，小小的，什么都能吃。
鹦鹉,,,,鹦鹉羽毛鲜丽，很多人喜欢把鹦鹉当宠物养，会学习人语，喜欢吃水果，主要生活在森林。
鸳鸯,,,,鸳指雄鸟，鸯指雌鸟，体型小，生活在河流、湖泊、水塘和稻田中，什么都可以吃。
鸽子,家鸽,,,鸽子是一种十分常见的鸟，会飞行，体型小，反应快。
啄木鸟,,,,啄木鸟会捕虫，它的嘴又直又尖，可以啄开坚硬的树皮，吃一些害虫。
螃蟹,,,,螃蟹是一种海洋生物，横着走路，有坚硬的外壳，喜欢吃小鱼小虾，可以被人们当做食物。
龙虾,,,,龙虾也是一种可以吃的海鲜，手上有两个大夹子，吃笑小鱼小虾，生活在海水中。
章鱼,,,,章鱼是一种海洋动物，有很多软软的触手，而且触手上有吸盘。
鲤鱼,,,,鲤鱼是最常见的鱼类，吃一些海草等植物，也是人类最常被当做食物的鱼类。
海马,,,,海马是一种小型海洋生物，通常生活在珊瑚礁的水流中，头部像马， 海马行动缓慢，但是却能很快的捕捉到吃的。
水母,,,,水母是一种很漂亮的水中动物，它的头长得像一把透明伞，而且还会发光，喜欢吃肉。
变色龙,避役,,,变色龙的身体会改变颜色，舌头很长，一般生活在大草原，吃一些比他小的动物。
企鹅,,,,企鹅生活在寒冷的南极，体型较小而且很可爱，喜欢吃鱼，身上的颜色为黑色和白色。
北极熊,,,,北极熊生活在遥远的北极，体型较大，毛色为白色，喜欢吃鱼，小虾。
鳄鱼,,,,鳄鱼是一种很大的水中动物，鳄鱼的嘴很大，身上一般是绿色和灰色的，爬着走路，喜欢吃肉。
河马,,,,河马可以生活在水里，也可以在地上行走，体型又胖又大，吃草也吃肉。
鲸鱼,,,,鲸鱼生活在海里，是一种很大的海洋动物，吃海里的鱼虾等动物。
鲨鱼,,,,鲨鱼生活在海里，性格凶猛，体型很大，吃肉。
海豚,,,,海豚很可爱，生活在海里，喜欢跳出海面，人们非常喜欢它，喜欢吃小鱼、小虾。
犀牛,,,,犀牛体型很大，皮厚，头上有角，吃野草，树叶等，是国家保护动物哦。
野猪,山猪,,,野猪有很尖的牙齿，皮肤是灰色的，一般生活在山地，森林里，吃肉也吃草。
松鼠,,,,松鼠很小，有毛茸茸的尾巴，灵活的身体，还有坚硬的门牙，最喜欢吃坚果类的食物。
袋鼠,,,,袋鼠的肚子上有个袋子，里面装着小袋鼠，吃野草，树叶等，一般生活在草原，走路时蹦蹦跳跳的。
驴,,,,驴和马长得很像，但比马小，也没有马跑得快，吃草也吃肉。
蜗牛,,,,蜗牛是一种很小的动物，爬得很慢，背上背着个壳，头上有触角，一般在雨后出现喜欢吃植物的嫩芽和汁液。
萤火虫,,,,萤火虫是一种可以在夜里发光的动物，体型小，有的会飞，有的就不会，吃露水和花蜜。
刺猬,,,,刺猬的身上全是刺，害怕的时候身体就会卷成一个球躲起来，喜欢吃鸡肉，也吃水果蔬菜。
蜜蜂,,,,蜜蜂是一种小动物，在花丛中飞来飞去采集花蜜，然后酿造蜂蜜，一般一群蜜蜂一起住在蜂窝里。
螳螂,刀螂,,,螳螂身体颜色一般是绿色和褐色，苍蝇，蝴蝶都可以被它当做食物。
蟋蟀,蛐蛐,,,蟋蟀身体的颜色很多，黄色、褐色、绿色，一般生活在草丛里，树叶什么都可以吃。
麻雀,瓦雀,家雀,,麻雀身上的颜色一般是黑色、棕色，上面有斑点，体型小，生活在人多的地方，比如人类的屋顶上。
猎豹,印度豹,,,猎豹全身都有黑色的斑点，体型偏瘦，腿长，头小，一般生活在温带的草原，奔跑速度特别快，吃肉。
壁虎,,,,壁虎可以粘在墙上，并且可以在墙上爬行，当壁虎遇到危险时，会把自己的尾巴切断逃走，一般在夏天的晚上出现。
梅花鹿,,,,梅花鹿体型比鹿小，生活在森林或山地的草原，吃青草树叶，有的梅花鹿头上有角，有的没有。
恐龙,,,,恐龙是出现在很多很多年前的动物，体型庞大，现在已经灭绝，大多数的恐龙吃肉，也有一部分吃草和树叶。
仓鼠,,,,仓鼠体型小，身体胖胖的圆圆的，非常的可爱，有很多品种，长者尖利的门牙，身体颜色一般是黄褐色和黄棕色。
喜鹊,,,,喜鹊一般出现在人们生活的地区，可以吃昆虫、虫子等小动物，也吃稻子等植物。
乌鸦,老鸦,,,乌鸦一身黑色的羽毛，嘴大喜欢鸣叫，脾气凶猛，乌鸦什么都吃，比如果子，谷物，昆虫和其他鸟类的蛋。
金蝉,爬蚱,知了龟,蚱蝉,金蝉具有丰富的营养，经常被人们做成食物，一般在夏天炎热的晚上从土里钻出来。
知了,,,,金蝉长大后变成知了，知了会飞，一般会在夏天的中午鸣叫。
穿山甲,,,,穿山甲一般生长在山坡洞里，成年的穿山甲会爬树，它主要吃白蚁及其幼虫，还有蜜蜂，胡峰也可以当做它的食物。
河蚌,蚌壳,,,河蚌生活在水中，长着两个坚硬的外壳，外壳里是柔软的身体，可以生产珍珠，主要吃海藻等一些海中的小动物。
蝌蚪,,,,蝌蚪长大后会变成青蛙，小小的，黑黑的，有比头还长的尾巴，生活在小河里。
毛毛虫,,,,毛毛虫是一种小虫子，一般吃植物的叶子，身体颜色有绿色的，有褐色的，蠕动身体走路。
蝗虫,,,,蝗虫是一种飞行害虫，蝗虫长大后会成群结队的吃农作物，而且吃的速度非常快。
树袋熊,考拉,无尾熊,,树袋熊是澳大利亚的国宝，一天里有半天多都在睡觉，性格温顺，身体胖胖的，一般都是趴在树枝上，有一对大耳朵。
树懒,,,,树懒行动特别慢，有脚但是从不走路，都是生活在树上，主要吃树叶，嫩芽和果实。
狐狸,红狐,草狐,,狐狸嗅觉灵敏，耳朵也很灵，腿长可以跑的很快，吃一些鱼虾，鸟类，昆虫等小型动物。
蚂蚱,,,,蚂蚱，吃草，身体一般是绿色的，后腿很有劲，所以可以跳的很远很高，什么样的草地都可以看到它。
屎壳郎,屎比房,滚粪牛,,屎壳郎适应环境的能力特别强，全身是黑色或深褐色，什么都可以吃，甚至是动物的粪便。
蜘蛛,网虫,,,蜘蛛身体颜色大多是黑色的，有八条腿，一般附在自己织的蜘蛛网上，吃一些昆虫甚至自己的同类。
蜈蚣,百脚虫,天龙,,蜈蚣的身体一节一节的，身体内有毒素，常见的有红色，黑色等，害怕阳光，所以都是夜里出现，吃一些昆虫什么的。
